# Created by Octave 5.2.0, Wed Sep 07 14:45:14 2022 -03 <hezekx@hezekMachina>
# name: tramos
# type: matrix
# rows: 97
# columns: 2
 1 960 
 2 940
 3 1800
 4 1100
 5 930
 6 750
 7 550
 8 440
 9 1350
 10 500
 11 700
 12 280
 13 780
 14 230
 15 600
 16 320
 17 710
 18 500
 19 810
 20 220
 21 490
 22 360
 23 710
 24 750
 25 220
 26 910
 27 980
 28 1000
 29 570
 30 710
 31 120
 32 390
 33 760
 34 710 -
 35 630
 36 480
 37 720
 38 810
 39 1370
 40 440
 41 1010
 42 240
 43 230
 44 570
 45 1050
 46 110
 47 390
 48 350
 49 270
 50 550
 51 810
 52 640
 53 360
 54 640
 55 820
 56 980
 57 870
 58 1420
 59 830
 60 140
 61 410
 62 320
 63 1450
 64 540
 65 910
 66 640
 67 710
 68 340
 69 900
 70 910
 71 60
 72 340
 73 210
 74 190
 75 140
 76 1070
 77 590
 78 390
 79 780
 80 430-
 81 0
 82 80
 83 650
 84 660
 85 240
 86 450
 87 490-
 88 350-
 89 200
 90 970
 91 240
 92 250
 93 500
 94 350
 95 610
 96 220
 97 270


